date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex_x,year,month,day,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex_y,region
2020-08-01,32,90,20,68,28,82,0.0,15.6,7,2020,8,1,24,32,90,11,18,151,SSE,116,Partly cloudy,0.0,0.0,42,10,6,1006,30,24,26,79,10,51,26,80,16,26,26,79,7,Ақмола
2020-08-02,26,79,22,72,25,76,0.0,15.6,5,2020,8,2,24,26,79,9,14,218,SW,200,Thundery outbreaks possible,0.0,0.0,43,10,6,1006,30,19,25,77,11,51,24,76,14,23,25,77,5,Ақмола
2020-08-03,21,70,18,65,20,69,0.0,12.6,5,2020,8,3,24,21,70,8,13,169,S,266,Light drizzle,1.4,0.1,64,7,4,1009,30,61,21,69,13,56,20,68,12,19,20,68,5,Ақмола
2020-08-04,23,74,15,60,19,66,0.0,12.6,4,2020,8,4,24,23,74,11,17,238,WSW,353,Light rain shower,14.6,0.6,79,8,5,1005,30,74,19,66,14,58,18,65,15,25,18,65,4,Ақмола
2020-08-05,31,87,18,65,25,77,0.0,14.4,5,2020,8,5,24,31,87,8,13,133,SE,386,Patchy light rain with thunder,11.0,0.4,70,9,5,1009,30,69,25,77,17,62,24,75,13,21,25,77,5,Ақмола
2020-08-06,30,87,23,73,27,81,0.0,14.5,7,2020,8,6,24,30,87,14,22,56,ENE,116,Partly cloudy,0.0,0.0,52,10,6,1011,30,20,27,81,15,60,26,79,20,32,27,81,7,Ақмола
2020-08-07,31,88,21,70,27,80,0.0,14.5,7,2020,8,7,24,31,88,12,19,33,NNE,116,Partly cloudy,0.0,0.0,51,10,6,1009,30,10,27,80,15,58,26,79,17,28,27,80,7,Ақмола
2020-08-08,28,82,21,70,25,76,0.0,12.5,5,2020,8,8,24,28,82,14,23,236,WSW,353,Light rain shower,1.7,0.1,62,10,6,1005,30,34,25,77,16,60,24,75,20,32,25,77,5,Ақмола
2020-08-09,21,69,17,62,19,67,0.0,11.4,4,2020,8,9,24,21,69,17,28,337,NNW,353,Light rain shower,0.7,0.0,62,10,6,1003,30,54,19,67,11,52,19,66,23,37,19,66,4,Ақмола
2020-08-10,23,73,15,60,19,67,0.0,14.5,4,2020,8,10,24,23,73,19,31,329,NNW,176,Patchy rain possible,0.3,0.0,58,10,6,1003,30,44,19,66,10,49,19,65,26,42,19,65,4,Ақмола
